SMILES,BIOACT_PCHEMBL_VALUE,CMP_CHEMBL_ID
CCN(CC)c1ccccc1CNCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,8.55,CHEMBL2147463
CCNC(=O)Oc1ccc(CC(=O)N2CCN(Cc3ccccc3)CC2)cc1,4.36,CHEMBL1629787
CN1c2c(nn(-c3ccc(-c4nc5cncnc5[nH]4)cc3)c2-c2ccccc2)-c2ccccc2S1(=O)=O,5.88,CHEMBL3237471
CN(C)CCC(=O)n1c2ccccc2sc2ccc(Cl)cc2n1C(=O)CCN(C)C,6.15,CHEMBL3265401
O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(F)cc1,5.40,CHEMBL2332980
CCc1ccc(N(Cc2ccccc2)C(=O)/C=C/C(=O)N(Cc2ccccc2)c2ccc(CC)cc2)cc1,4.31,CHEMBL2296113
O=C(CN1CCN(CCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2,6.31,CHEMBL2391653
c1ccc2c(CNc3ccnc(N4CCNCC4)n3)cccc2c1,4.60,CHEMBL1834066
c1ccc2sc(-c3ccc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)cc3)nc2c1,7.09,CHEMBL2022046
CC(C(=O)NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc(-c2ccccc2)c(F)c1,8.68,CHEMBL2376473
CN1CCN(NCCN2c3ccccc3Sc3ccccc32)CC1,4.30,CHEMBL1739015
O=C(CN1CCCCC1)n1c2ccccc2sc2cccc(Cl)c2n1C(=O)CN1CCCCC1,6.05,CHEMBL3265400
Cc1c(OCCCCN2CCN(C)CC2)ccc2c(=O)cc(-c3ccccc3)oc12,5.24,CHEMBL2393065
Cc1cc2nc(-c3ccc(-n4nc5c(c4C)N(C)S(=O)(=O)c4ccccc4-5)cc3)[nH]c2cc1C,6.56,CHEMBL3237457
C=CC(=O)N1C/C(=C\c2ccccc2F)C(=O)C2(C1)C(c1ccccc1F)C(c1ccccc1)NC21C(=O)Nc2ccccc21,4.93,CHEMBL3235941
CCN(CC)Cc1cccc2oc3cc(OC)ccc3c12,4.56,CHEMBL3127043
COc1ccc(/C=C2\COc3cc(OCCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,8.21,CHEMBL3093177
Oc1ccccc1CNCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.95,CHEMBL2147457
